ra,dec,phot_g_mean_mag
305.2529803545,-14.7814060012,2.8368742466
75.4922319754,43.8232966884,2.8476479053
309.3921343889,-47.2912080024,2.8521497250
3.3089703844,15.1835507414,2.8534293175
111.7874402270,8.2891465344,2.8560390472
299.6895907690,19.4922471121,2.8593628407
343.1537089469,-7.5794514025,2.8595294952
267.4647360323,-37.0432231564,2.8600709438
266.8961644868,-40.1270213459,2.8666827679
332.7137697826,58.2012852777,2.8701381683
133.8479910070,5.9456285939,2.8702027798
154.2704943468,-61.3322788094,2.8710227013
9.8325953127,30.8605028178,2.8720777035
239.7129047279,-26.1142268665,2.8735146523
116.3136744724,-37.9685604406,2.8750491142
262.9601503332,-49.8764424997,2.8780157566
254.4157547082,9.3749848084,2.8820893764
229.7266175092,-68.6796852829,2.8823120594
56.8712508473,24.1049344752,2.8961319923
59.4635951705,40.0100950979,2.9042789936
194.0056156712,38.3186210427,2.9043931961
84.4111932564,21.1424510342,2.9119813442
296.2439176177,45.1310248439,2.9163165092
245.2970859432,-25.5928808927,2.9208741188
283.6261412000,36.8986285887,2.9221789837
113.6497938187,31.8885035198,2.9247972965
146.7753574891,-65.0719732291,2.9269278049
354.8357808330,77.6331248141,2.9429574013
211.5931241313,-26.6829880258,2.9484310150
187.4650902738,-16.5160513446,2.9649055004
230.4510369940,-36.2617543402,2.9656078815
286.7347469924,-27.6715414314,2.9668314457
231.2323203103,58.9661427356,2.9729201794
244.5807501483,-4.6923319855,2.9772109985
337.4392141192,-43.7492064411,2.9805827141
318.2340887867,30.2266967722,2.9821486473
55.7314121038,47.7873928943,2.9823131561
275.3250593588,-2.9019428806,2.9904501438
124.1286317978,9.1853239358,3.0001826286
286.3525049766,13.8630532787,3.0011179447
95.0783373407,-30.0633487836,3.0076508522
32.3867535504,34.9871198819,3.0077726841
328.4827688632,-37.3649484891,3.0138354301
169.6195996911,33.0944300347,3.0204448700
230.1818712786,71.8341016578,3.0218675137
218.0188176923,38.3089226946,3.0221879482
117.3235387831,-24.8597953436,3.0238003731
105.7561241022,-23.8332770719,3.0407001972
211.3311135049,-76.7969069992,3.0503222942
316.2328118253,43.9278571770,3.0638983250
252.9675591615,-38.0474808634,3.0698649883
143.2075397812,51.6749060410,3.0717425346
269.7565994678,-9.7741508509,3.0769865513
72.4621240212,6.9613310085,3.0879216194
89.9837173634,45.9367003162,3.0882971287
172.8504043655,69.3309919467,3.1029343605
185.3384931873,-60.4007401613,3.1038253307
252.4468214076,-59.0414953237,3.1050086021
224.7902373531,-42.1042983246,3.1182818413
134.7989643318,48.0408714711,3.1209731102
63.6065584337,-62.4736126118,3.1259057522
173.9449936443,-63.0198671521,3.1292858124
258.7578570010,24.8385063892,3.1308090687
17.1484388956,-10.1828823347,3.1326482296
83.0531362806,18.5942165516,3.1337926388
300.4366214993,-59.3760043667,3.1375269890
234.2559551130,-28.1350584133,3.1413295269
42.6743377895,55.8954342876,3.1448547840
253.6450920928,-42.3623328936,3.1452071667
127.5649112503,60.7176897208,3.1493551731
202.4279883557,-23.2812674809,3.1524858475
257.1964366985,65.7147909130,3.1570117474
281.4143730196,-26.9907824244,3.1594216824
75.6195856403,41.0757461030,3.1632785797
217.9569376658,30.3719693261,3.1642870903
220.6247231566,-64.9761773922,3.1673612595
224.3950073429,65.9325976765,3.1697964668
76.6289015339,41.2341720747,3.1723477840
99.4402993343,-43.1959528380,3.1752331257
311.3232063411,61.8424192940,3.1779127121
228.0704145055,-52.0995699430,3.1800217628
284.4326604787,-21.1067178272,3.1887185574
322.1650526961,70.5607194452,3.1945900917
102.0470581639,-61.9401161354,3.2033739090
24.4985818554,48.6277141905,3.2095632553
228.8761272012,33.3143352839,3.2112798691
28.4108240202,-46.3030548110,3.2137410641
230.3429205954,-40.6476076016,3.2144634724
300.6646666594,-27.7097807896,3.2201929092
342.4193465642,66.1998496463,3.2224979401
4.8569109353,-8.8240821298,3.2267179489
169.8346321201,-14.7776194673,3.2277886868
44.5650135169,-40.3045751596,3.2283852100
258.0384406029,-43.2404694350,3.2345328331
266.6132135058,27.7172750405,3.2384054661
250.7242233003,38.9218753884,3.2446298599
225.4862720556,40.3904344912,3.2449820042
101.3218296748,12.8947430893,3.2463483810
158.0059326249,-61.6852863244,3.2471809387
284.7359116091,32.6895632455,3.2489738464
285.6527528347,-29.8801433280,3.2493345737
302.8263527063,-0.8214431670,3.2497870922
230.6701710369,-44.6897231955,3.2498960495
195.5714387715,-71.5489615462,3.2549500465
131.6929663620,6.4185816273,3.2565941811
260.5024045068,-24.9996364312,3.2593181133
156.5220107711,-16.8366449834,3.2667334080
57.3803265347,65.5259100915,3.2674350739
343.6623683130,-15.8209367145,3.2723643780
342.5015144362,24.6013928585,3.2745838165
55.8116633075,-9.7600836641,3.2755665779
103.5331160841,-24.1841929019,3.2783384323
266.4331725338,-64.7241227528,3.2796018124
291.3757141936,3.1151491217,3.2803673744
67.1546737096,19.1802733173,3.2804532051
303.4079622972,46.7413377374,3.2822554111
30.0019231853,-21.0779398537,3.2832906246
78.2331271243,-16.2055346858,3.2917866707
173.2493791858,-31.8578075680,3.2924726009
0.4902909139,-6.0142504274,3.2927851677
26.0090550572,-15.9336802007,3.3003997803
153.4337766782,-70.0378747806,3.3005144596
261.3485553801,-56.3777864063,3.3046894073
28.2705019622,29.5777830360,3.3050761223
70.1105804892,-19.6719079097,3.3081130981
183.8573483477,57.0326531649,3.3111023903
303.8680187381,47.7142157846,3.3171265125
335.0085033956,-80.4399388161,3.3181149960
21.0055047412,-8.1841565389,3.3185784817
12.2852273815,57.8127281256,3.3200666904
176.4647373315,6.5285618184,3.3209586143
313.7026637609,-58.4542543124,3.3229844570
304.5138436900,-12.5448414012,3.3274161816
347.3619049467,-21.1722809769,3.3279740810
176.5116439392,47.7795316237,3.3287191391
116.1117106034,24.3977712497,3.3391394615
168.5597445108,15.4292214212,3.3396248817
60.2242188015,-62.1591269810,3.3460669518
154.1726656749,23.4172802644,3.3467774391
237.1846599074,18.1411719334,3.3488039970
342.3978595435,-13.5928001399,3.3508179188
28.5991885046,63.6700183477,3.3546657562
152.6460490699,-12.3544571798,3.3550055027
221.9653428457,-79.0448259933,3.3622815609
302.1950398892,-66.1870912844,3.3641381264
245.0864535430,-78.6959135185,3.3667247295
137.6615986587,30.9629861013,3.3687500954
203.6720665815,-0.5956181020,3.3738446236
67.1660805105,15.8707844553,3.3779077530
207.3759965629,-41.6878028687,3.3789372444
51.2030275844,9.0285388935,3.3823738098
22.8709991860,15.3458175469,3.3828592300
268.3829684310,56.8729926613,3.3842713833
113.9804613973,26.8952733766,3.3864715099
275.2720330521,72.7312778036,3.3877174854
190.4123842787,-1.4496878251,3.3912315369
118.0542304862,-40.5757489845,3.3933269978
233.7850934703,-41.1668694425,3.3973817825
312.9553322987,-26.9191439470,3.3990402222
66.0095553834,-34.0166340044,3.4001278877
64.9488861684,15.6275381929,3.4027566910
354.3920413080,46.4562765527,3.4043529034
311.2390853776,-66.2031663731,3.4054875374
240.0304332141,-38.3968261987,3.4078683853
207.3689078954,15.7980831622,3.4100399017
136.0383527342,-47.0977749570,3.4186177254
145.2869906229,9.8921419517,3.4208006859
340.3658528816,10.8313110759,3.4208996296
158.8662530266,-78.6077386096,3.4216899872
137.7419040635,-58.9668401676,3.4218080044
278.8016989611,-8.2454660193,3.4242193699
207.4039807020,-42.4738150122,3.4261972904
27.8653102073,-10.3352130908,3.4277625084
190.4124270881,-1.4490230626,3.4332993031
286.5621591058,-4.8829602002,3.4336428642
119.1944354922,-52.9822412313,3.4414794445
126.4337610592,-66.1375634042,3.4457974434
154.2731519038,42.9141939756,3.4462420940
349.2947847090,3.2823685554,3.4492387772
311.9343288484,-5.0278798305,3.4493770599
89.8824009133,54.2841026817,3.4518437386
348.5808228011,-6.0498750529,3.4539875984
110.0305944890,21.9822387075,3.4571263790
269.4416075907,29.2477951700,3.4648022652
53.2282934152,-9.4581682163,3.4657518864
144.9642118183,-1.1430887036,3.4662992954
68.4994392935,-55.0450092207,3.4664957523
177.6771209176,1.7635185317,3.4685649872
233.7848078254,-41.1667520632,3.4685807228
146.3115931912,-62.5078673625,3.4711742401
87.8314895516,-20.8819715390,3.4712872505
28.9942829751,-51.6075696116,3.4718022346
325.3702822378,-77.3911203091,3.4732315540
269.0632705654,37.2505664081,3.4741399288
60.1700400181,12.4902884794,3.4756324291
86.1143912258,-22.4500233642,3.4768230915
286.1711290601,-21.7417557813,3.4801962376
298.8285089901,6.4046266122,3.4819748402
342.1395041838,-51.3171429238,3.4872269630
275.9254783116,21.7686716340,3.4873433113
276.7432910812,-45.9686955867,3.4887385368
151.8331297768,16.7626604128,3.4907143116
102.4601990990,-32.5084589978,3.4911031723
249.0937138284,-35.2552842008,3.4913599491
163.3283586008,34.2136536281,3.4941248894
107.1872548666,-70.4984475015,3.4989178181
264.3964704659,-15.3988186357,3.4990055561
111.4310352449,27.7977013411,3.5065500736
237.4047051272,-3.4303373025,3.5113348961
65.7342249090,17.5423907575,3.5160439014
332.5511396899,6.1979668287,3.5165259838
56.0531754234,-64.8065428037,3.5165603161
149.2154843107,-54.5677699249,3.5212290287
73.1331831897,14.2503982489,3.5252299309
63.5007282356,-42.2952714637,3.5266554356
83.7844967365,9.9341501107,3.5281031132
103.5468742481,-12.0386917546,3.5294537544
321.6667758063,-22.4112149985,3.5300385952
148.1898347475,26.0067061911,3.5301551819
324.0107981865,45.3745906878,3.5311057568
163.3742388146,-58.8529979266,3.5334343910
202.7609726412,-39.4073583523,3.5339126587
130.0731005352,-52.9218148382,3.5350146294
47.3752206856,44.8568424743,3.5357921124
337.3826004464,47.7068820235,3.5363602638
207.8580823306,64.7232775316,3.5380036831
106.0271767605,20.5702942742,3.5395133495
86.7388570554,-14.8219536057,3.5410435200
253.0838698198,-38.0176365520,3.5426740646
289.2761443707,53.3690049569,3.5440130234
214.8508413164,-46.0581171387,3.5445458889
82.8032652708,-35.4706506722,3.5456566811
254.8960413403,-53.1603425114,3.5479440689
191.5695494797,-68.1081470034,3.5488755703
40.8244988709,3.2351693453,3.5503134727
64.4739259697,-33.7983721375,3.5517442226
130.1565070492,-46.6487202274,3.5536344051
34.1280988831,-51.5122651790,3.5560112000
167.1474026341,-58.9750316573,3.5574369431
243.8594943058,-63.6857424597,3.5603363514
68.8874030809,-30.5623977822,3.5659255981
34.8366488646,-2.9787036389,3.5681471825
93.7138633465,-6.2748597204,3.5708856583
345.4803840743,42.3259862316,3.5759739876
67.1442319626,15.9620253080,3.5771210194
109.5230315011,16.5402259639,3.5799252987
142.8831747141,63.0619790260,3.5820162296
44.1072236367,-8.8991173435,3.5833346844
79.4015470484,-6.8444501618,3.5883798599
139.0500694528,-57.5415328207,3.5909955502
335.6844004512,-45.9480434925,3.5925784111
83.4063106733,-62.4897692394,3.5934615135
103.1972361243,33.9610470126,3.5936210155
220.9139848128,-35.1744582807,3.5942471027
262.7741291192,-60.6842836849,3.5960280895
69.5447336263,-14.3047093873,3.6010260582
2.3534338435,-45.7482221178,3.6017847061
231.9562807016,29.1061036776,3.6044285297
282.5199906502,33.3626503933,3.6048781872
132.6323422196,-27.7094580502,3.6095452309
95.5283150793,-33.4366302592,3.6113984585
125.7086594830,43.1876833988,3.6137371063
81.1192370513,-2.3971524975,3.6153695583
3.6599461565,-18.9331897987,3.6155240536
57.2906889329,24.0532118300,3.6157946587
248.3599456075,-78.8974957894,3.6200609207
299.0763637637,35.0832966925,3.6234016418
176.4006564658,-66.7286036512,3.6247940063
233.8818724917,-14.7895007819,3.6254429817
347.5905760163,-45.2468345390,3.6254985332
350.7420346009,-20.1010166720,3.6269598007
168.8008278926,23.0954823136,3.6306431293
42.4963088104,27.2599889069,3.6328406334
77.8454416348,-11.8488309685,3.6340434551
89.1010327651,-14.1670807754,3.6358559132
131.1711603616,18.1532955690,3.6373574734
89.7868023603,-42.8151813667,3.6376557350
325.0236179992,-16.6624137681,3.6419107914
297.0441732662,70.2681082629,3.6430900097
271.6577238144,-50.0915228689,3.6439809799
359.4395212218,25.1412623638,3.6454024315
234.6639572153,-29.7778760790,3.6462044716
56.5358185287,-12.1013242815,3.6505644321
211.0967442028,64.3759244158,3.6524229050
236.5472006802,15.4216068924,3.6537792683
240.6627716153,47.2406306998,3.6584572792
87.8724183493,39.1485270825,3.6593384743
280.7589179466,-71.4288200372,3.6604769230
115.3114619200,-9.5512208833,3.6608421803
115.4557366798,-72.6060332658,3.6618442535
56.2983784932,42.5785413638,3.6637780666
331.7542260532,25.3452209665,3.6638712883
130.8979950230,-33.1863387836,3.6639201641
9.2429836061,53.8968681215,3.6643619537
333.9924535004,37.7487348328,3.6651716232
72.8015164634,5.6051083064,3.6682577133
142.9300348508,22.9678199385,3.6707792282
22.8138722652,-49.0720182334,3.6708762646
99.1712853213,-19.2561906991,3.6732358932
341.6331014272,23.5656123454,3.6866872311
245.4798384663,19.1533202686,3.6917469501
73.5629068471,2.4406776157,3.6920158863
239.1146974353,15.6559125902,3.6944260597
56.2190045645,24.1131330436,3.6982085705
337.3175394102,-43.4955757101,3.6997373104
237.7045892802,4.4780066039,3.6997780800
285.4200193787,-5.7392809703,3.7003529072
51.7925714099,9.7325501472,3.7018294334
318.6986966847,38.0473776001,3.7045397758
347.3810780531,8.6771544194,3.7052495480
147.7447815397,59.0380595894,3.7054460049
43.5644294633,52.7624559609,3.7076981068
213.2239670300,-10.2730857418,3.7098555565
271.8371583058,9.5641978574,3.7121605873
349.2121666361,-7.7265601175,3.7154612541
244.9589853785,-50.1557368486,3.7174704075
74.0924764116,13.5142691873,3.7191607952
43.9520390930,18.3315700363,3.7192928791
338.2506417139,-61.9822103402,3.7205574512
284.9054165540,15.0679724229,3.7267341614
221.5616692830,1.8927928769,3.7283771038
156.7874973819,-31.0677355925,3.7327249050
130.0256557827,-35.3084465170,3.7353456020
309.9098292622,15.9120237660,3.7358906269
109.1457370491,-27.8810073863,3.7392623425
292.1757574872,24.6644308978,3.7411165237
292.4266419003,51.7303463426,3.7418947220
16.5209559969,-46.7183906492,3.7442321777
216.8815945980,75.6960861798,3.7445456982
177.1876706887,-26.7498252735,3.7452638149
298.1182433604,1.0056218968,3.7476713657
156.9695872879,-58.7393958919,3.7513799667
266.9730626217,2.7069481818,3.7528483868
323.4950664261,45.5914232978,3.7549741268
239.3964936041,26.8776086455,3.7562327385
273.4408750371,-21.0588371856,3.7602293491
11.8341977674,24.2668217702,3.7604691982
322.1882261545,-69.5055899456,3.7614459991
287.5073441547,-39.3409626560,3.7625672817
207.9477024651,34.4440947541,3.7662875652
220.7655912374,-5.6596064403,3.7671251297
234.1803642558,-66.3172830284,3.7681617737
322.4871784724,23.6388563728,3.7691292763
320.5221624151,19.8047897139,3.7720093727
94.4783422854,61.5152760010,3.7721922398
311.9191094159,-9.4959321959,3.7747030258
112.0405300904,8.9255739941,3.7767541409
164.9414407013,-18.2982146146,3.7779376507
109.2075406768,-67.9571149388,3.7786545753
112.7684932717,82.4112820986,3.7795882225
316.7818201189,-25.0060490878,3.7819404602
318.9562102241,5.2474926372,3.7822868824
131.6741399257,28.7596989164,3.7832348347
337.8238771523,50.2825696027,3.7837073803
142.6736972497,-40.4664659720,3.7843050957
144.2715503252,81.3263073059,3.7852230072
193.5880791258,-9.5390570965,3.7855815887
75.8544960072,60.4421815362,3.7896964550
84.6865224285,-2.6000786611,3.7901659012
264.8661510727,46.0063477493,3.7906453609
211.9823847350,43.8543154407,3.7922480106
309.4781975052,18.2688569097,3.7925512791
298.8154724376,-41.8680330686,3.7932460308
205.1843204622,54.6815877644,3.7974348068
84.2270617542,9.2893156008,3.7976505756
135.9061708346,47.1562733868,3.7986154556
275.8068056501,-61.4938721010,3.7995433807
48.0207011206,-28.9848700613,3.8014392853
135.6359606624,67.6296962306,3.8032541275
108.3428748712,16.1587800115,3.8033657074
6.9819678864,-33.0073856353,3.8037893772
59.6865404398,-61.4002484354,3.8042740822
133.7616171037,-60.6444383468,3.8086857796
209.5676309658,-42.1008426698,3.8089063168
69.1725975185,41.2647517272,3.8100004196
122.8395036149,-39.6185298394,3.8102102280
277.2086926980,-49.0716100307,3.8142595291
202.9907223922,-6.2560194018,3.8150224686
351.5113649839,-20.6423024080,3.8150815964
184.9761836854,-0.6668746066,3.8159492016
188.1159696653,-72.1330149624,3.8161687851
261.6286762233,4.1403894259,3.8180251122
40.1675969423,-39.8554975718,3.8217360973
86.8212345201,-51.0661362578,3.8232421875
7.0126802848,17.8932174386,3.8245496750
131.0996357922,-42.6491906849,3.8256030083
158.2027646952,9.3065701496,3.8256657124
221.5243784300,15.1318560449,3.8274626732
234.5124380907,-42.5670869410,3.8282809258
346.7511200283,9.4094381666,3.8308668137
271.8856295433,28.7625272997,3.8321146965
164.0060156294,6.1853401758,3.8347270489
52.7183256332,12.9366722937,3.8361234665
12.1709689447,7.5848586638,3.8363444805
204.9985060767,-49.9499005055,3.8364408016
160.8844000286,-60.5666080045,3.8380424976
151.9757553282,9.9972186780,3.8388133049
238.4568695567,-16.7286995265,3.8406856060
345.2195598694,-52.7541901121,3.8416972160
220.8556100144,26.5277826314,3.8419818878
56.0797560597,32.2882032363,3.8422279358
14.1892287868,38.4994889420,3.8432207108
63.7244750826,48.4092555877,3.8461115360
153.6830836435,-42.1217211333,3.8466653824
209.6696219015,-44.8036837004,3.8492305279
335.4146449200,-1.3872993315,3.8492627144
189.4244346160,-48.5413353985,3.8500425816
337.2928846512,58.4152081727,3.8505997658
159.3245316575,-48.2256670040,3.8543860912
159.3888254558,-13.3847145007,3.8572220802
181.3012041079,8.7331664973,3.8577966690
356.5978423296,3.4867017576,3.8614289761
339.6584419135,56.7954911077,3.8619949818
56.4567958643,24.3675414247,3.8633489609
147.8696212405,-14.8467477822,3.8642342091
131.5067749929,-46.0415071660,3.8647258282
239.2210683002,-29.2141795846,3.8667354584
50.0848062916,29.0483864082,3.8667917252
52.6437152853,47.9953006490,3.8675851822
240.4695439843,58.5667345836,3.8692750931
158.8969397635,-57.5576321571,3.8705699444
227.9829840971,-48.7380420958,3.8706171513
193.2782387499,-48.9434227919,3.8707404137
170.2514139929,-54.4910662188,3.8734409809
80.9867181182,-7.8082568854,3.8751556873
308.4757640562,35.2508256623,3.8773338795
176.6282242380,-61.1784743459,3.8793737888
216.7262578434,-83.6679463534,3.8798317909
17.1924720750,86.2570438338,3.8803708553
138.5916813885,2.3128882301,3.8813464642
150.0532139473,8.0441223871,3.8831791878
314.2934778722,41.1671010197,3.8856101036
244.9350686365,46.3135330183,3.8871302605
290.4180416311,-17.8471026797,3.8882517815
281.7936070133,-4.7479459228,3.8905007839
349.3572276071,-58.2353698888,3.8917949200
187.0097019564,-50.2306965134,3.8933312893
188.3698436869,69.7882837917,3.8934838772
115.9519308455,-28.9548082755,3.8961057663
113.4498294795,-14.5238862206,3.8964202404
42.8785404076,35.0594608409,3.9015169144
126.4148354672,-3.9065314482,3.9022552967
47.2754048596,49.6128738584,3.9026391506
5.4430965745,-20.0580763229,3.9033446312
174.6150094148,8.1343197690,3.9069721699
222.5709173986,-27.9606387961,3.9073319435
170.9817309012,10.5291468395,3.9073865414
262.6847172156,26.1107175403,3.9097337723
156.0985242578,-74.0317374527,3.9097652435
307.3489295466,30.3685512297,3.9099447727
60.7891029798,5.9892834887,3.9104197025
255.0721423619,30.9265231362,3.9134347439
200.9855603544,54.9216898868,3.9137754440
69.0797618434,-3.3524812189,3.9139285088
140.3732293890,-25.9654841479,3.9153723717
216.2974561534,51.8489672603,3.9172291756
241.7017221769,-20.6692932475,3.9183657169
6.5514927672,-43.6796862551,3.9185051918
115.8848748791,-28.4107539895,3.9190986156
311.4155916501,30.7198189405,3.9202451706
188.7267120551,-67.7569110355,3.9212968349
264.1368010626,-38.6362178460,3.9237141609
359.8285436506,6.8628259219,3.9241752625
348.9745548677,-9.0878101892,3.9247210026
250.7636123793,-77.5190102622,3.9250965118
334.2090196731,-7.7833862017,3.9265148640
57.3632752225,-36.2004767550,3.9283318520
139.7108313413,36.8020350258,3.9285733700
270.1613199486,2.9315258495,3.9324145317
349.4362591777,49.0153284282,3.9340033531
182.9127159863,-52.3684991373,3.9359459877
329.1630789062,63.6255485672,3.9401099682
137.8193123471,-62.3169113307,3.9414103031
343.9871454066,-32.5394788790,3.9415771961
214.0034989165,-6.0023909258,3.9420373440
62.1655323355,47.7123666439,3.9444186687
290.6595980467,-44.4590389418,3.9452552795
182.1038798360,-24.7290534755,3.9466290474
30.8581399846,72.4213943296,3.9484353065
124.6336389311,-76.9192479594,3.9498889446
290.9717502890,-40.6164709222,3.9504597187
87.7603589029,37.3053669998,3.9505138397
353.3671020306,22.4987060994,3.9505269527
30.1121437930,-8.5239422932,3.9534924030
271.5078587075,22.2188450947,3.9551548958
137.0121721524,-25.8585370044,3.9553377628
199.4011534873,5.4699416287,3.9564712048
191.2825898752,45.4403153648,3.9576191902
55.5386799879,63.2168859496,3.9577527046
237.7396868173,-33.6273256300,3.9583632946
135.1573578569,41.7817560831,3.9596080780
227.2107866244,-45.2799407017,3.9599392414
304.4120535301,-12.5082048850,3.9628303051
300.1493564518,-72.9110902240,3.9634909630
289.0920395222,38.1337603288,3.9654982090
316.6504293947,47.6483951112,3.9655983448
24.1983212152,41.4037617616,3.9661331177
115.8283451849,28.8824901199,3.9680504799
251.4932888506,82.0372690534,3.9690458775
25.3577881284,5.4876272111,3.9701409340
135.6116288166,-66.3964988074,3.9706151485
120.5662784292,2.3350414557,3.9720089436
305.9653345794,32.1901351625,3.9725594521
62.9664585078,-6.8372158097,3.9739522934
201.3073057729,54.9878453398,3.9743545055
59.7412643887,35.7910420687,3.9748837948
191.5701496043,-68.1079781477,3.9806468487
108.7026672251,-26.7726315159,3.9829916954
41.0522221637,49.2280518717,3.9830012321
3.6511194174,20.2067080044,3.9842233658
351.9914994860,6.3788001794,3.9845802784
220.4897928460,-37.7936363384,3.9865818024
271.3644538185,2.4952240959,3.9873640537
311.6644416047,16.1234161608,3.9899370670
333.4699229448,39.7150106423,3.9903635979
186.8701529750,-58.9917502043,3.9966540337
15.7355121732,7.8902475282,3.9971802235
274.9653630135,36.0647296082,3.9974966049
274.5133254456,-27.0426621624,3.9981617928
193.6481750602,-57.1779840461,3.9990456104
309.3877218828,14.5949665520,3.9991369247
354.9893506002,5.6243516012,3.9992578030
219.4715780526,-49.4259581235,4.0019474030
71.3756980793,-3.2547165421,4.0082898140
125.1579328453,-77.4842987776,4.0109276772
26.3487590501,9.1579895222,4.0125198364
159.8264858460,-55.6032456150,4.0128927231
249.6865291655,48.9284592800,4.0151133537
308.3032697386,11.3031792516,4.0156035423
235.6852476239,26.2958071847,4.0156464577
34.3288558065,33.8469626609,4.0160551071
154.9030304438,-55.0292956954,4.0169701576
119.2146293516,-22.8800917816,4.0176033974
326.6328198405,-2.2126671268,4.0176100731
107.7847182369,30.2449481467,4.0203161240
74.6370902534,1.7139847289,4.0206532478
