name,ra,dec,vmag
Atlas,57.2905960742,24.0534171333,3.6300
Rotanev,309.3872554152,14.5950887473,3.6300
,130.0733305509,-52.9219098955,3.6300
,347.3616501872,-21.1724152050,3.6400
,234.6640395654,-29.7777487789,3.6420
Prima Hyadum,64.9483496829,15.6276420514,3.6500
,176.4017278750,-66.7287577037,3.6500
,313.7024920505,-58.4541447625,3.6500
,337.2079451972,-0.0199428472,3.6500
,9.2428520312,53.8969104442,3.6600
Heka,83.7844900210,9.9341558742,3.6600
,271.6577841443,-50.0914798831,3.6600
,142.8821169631,63.0618599509,3.6700
Chow,236.5468965860,15.4218192968,3.6700
Nashira,325.0226892543,-16.6623711982,3.6700
,72.8015240542,5.6051038500,3.6800
Thuban,211.0973233202,64.3758696176,3.6800
,130.8980726264,-33.1863832795,3.6800
Nusakan,231.9573085815,29.1056929557,3.6800
,237.7040219607,4.4777309708,3.6930
,118.0542993802,-40.5757817321,3.6960
,49.8791693654,-21.7578653970,3.7000
Electra,56.2189045408,24.1133378500,3.7000
,227.9836386328,-48.7378249875,3.7000
,269.4411903089,29.2478794459,3.7000
,349.2914046385,3.2822904690,3.7000
,28.9894156936,-51.6088775905,3.7100
Alshain,298.8283035124,6.4067642340,3.7100
Taiyangshou,176.5125586198,47.7794042423,3.7200
,89.8817434141,54.2847379629,3.7200
Baten Kaitos,27.8651306176,-10.3350310663,3.7200
,89.1012228769,-14.1676995377,3.7200
,325.3689251480,-77.3900087616,3.7280
,73.5629043524,2.4406716585,3.7300
,318.6978855113,38.0453178160,3.7300
Ran,53.2326853798,-9.4582609705,3.7300
,221.5621810306,1.8928838280,3.7300
,271.8374368634,9.5638467266,3.7300
,316.2327497346,43.9278533495,3.7300
,85.1898800292,-1.9432186222,3.7300
,97.2044571100,-7.0330583683,3.7400
,321.6667943971,-22.4113203452,3.7400
,252.4464845473,-59.0413793471,3.7440
,107.1869403983,-70.4989304021,3.7460
,337.2927611001,58.4151937816,3.7500
,51.7922524136,9.7327419509,3.7500
,75.6195143455,41.0758319888,3.7500
,136.0386652120,-47.0977350775,3.7500
Grumium,268.3822064283,56.8726419292,3.7500
,266.9731691245,2.7072791219,3.7500
,146.3117154354,-62.5079028646,3.7500
,292.4264926137,51.7297779221,3.7550
,126.4341461092,-66.1368879032,3.7590
,289.2757013451,53.3684582778,3.7600
Secunda Hyadum,65.7337298316,17.5425138340,3.7600
,83.4063165541,-62.4898267938,3.7600
,245.4800609283,19.1531285401,3.7600
,331.7527729591,25.3450989962,3.7700
,286.1707585001,-21.7414959587,3.7700
Albali,311.9189565534,-9.4957769269,3.7700
,337.8229225889,50.2824916425,3.7700
,220.2872982308,13.7283046294,3.7800
Alula Australis,169.5455495000,31.5292889000,3.7900
,84.6865224286,-2.6000786611,3.7900
Miram,42.6742082228,55.8954943672,3.7900
,111.4316485038,27.7980797084,3.7900
Mekbuda,106.0272134936,20.5702984653,3.7900
,163.3735671313,-58.8531703698,3.7900
,343.1536418522,-7.5795969237,3.7900
,221.9654628970,-79.0447535546,3.7980
,298.1182038432,1.0056588835,3.8000
Sualocin,309.9094984815,15.9121600089,3.8000
,264.8661954084,46.0063313828,3.8000
,303.4079509877,46.7413226717,3.8000
,56.2984697327,42.5785304280,3.8000
,133.7618670772,-60.6446095141,3.8000
del Lyr Cluster,283.5466666667,36.8983333333,3.8000
,209.5677757391,-42.1007569184,3.8020
,156.9697073878,-58.7394061750,3.8100
Misam,47.3741818335,44.8574582857,3.8100
,147.7473252345,59.0387336232,3.8100
,156.5226089398,-16.8362886048,3.8100
,130.1565466994,-46.6487401091,3.8100
,296.8469399888,18.5343135712,3.8100
Theemin,68.8876581717,-30.5623420371,3.8200
,108.7027250556,-26.7726675567,3.8200
,354.3910115837,46.4581513114,3.8200
,271.8856296342,28.7624910656,3.8270
,167.1474531910,-58.9750386335,3.8300
Praecipua,163.3278715282,34.2148921331,3.8300
,278.8017798216,-8.2440705110,3.8300
,56.0499226753,-64.8069141321,3.8330
Sadachbia,335.4140482005,-1.3873491941,3.8340
,243.8594616094,-63.6856815048,3.8390
,159.3256268326,-48.2256661859,3.8400
,239.1132610738,15.6616137723,3.8400
,67.1437413429,15.9622836582,3.8400
,275.9245404425,21.7697526692,3.8400
,153.6839820335,-42.1219413419,3.8500
Polis,273.4408701671,-21.0588316869,3.8500
Giausar,172.8509236430,69.3310757301,3.8500
,95.5284372868,-33.4363989476,3.8500
